iter	Passed	Remaining
0	1	153
1	2	130
2	4	146
3	6	145
4	8	153
5	9	153
6	11	150
7	13	150
8	14	149
9	16	148
10	17	145
11	19	142
12	20	136
13	21	131
14	22	130
15	24	127
16	25	124
17	26	120
18	27	117
19	29	117
20	30	114
21	31	111
22	32	107
23	32	103
24	33	100
25	33	96
26	35	95
27	36	92
28	36	90
29	37	88
30	38	85
31	39	82
32	39	80
33	40	77
34	40	75
35	41	73
36	42	71
37	43	70
38	43	68
39	44	67
40	45	65
41	45	63
42	46	61
43	46	59
44	48	58
45	48	57
46	49	55
47	50	54
48	51	53
49	52	52
50	52	50
51	53	49
52	54	48
53	55	46
54	55	45
55	56	44
56	57	43
57	58	42
58	58	40
59	59	39
60	60	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	64	31
67	65	30
68	65	29
69	66	28
70	67	27
71	67	26
72	68	25
73	69	24
74	70	23
75	70	22
76	71	21
77	72	20
78	73	19
79	74	18
80	75	17
81	76	16
82	76	15
83	77	14
84	78	13
85	78	12
86	79	11
87	80	10
88	81	10
89	82	9
90	83	8
91	83	7
92	84	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	88	0
99	89	0
